feature,importance
num__product_height_cm,0.15037317764926778
num__product_width_cm,0.12311113056135377
num__freight_value,0.12132190615244266
num__price,0.09320262457803137
num__product_weight_g,0.0778723430689851
num__month,0.07437100643366891
cat__seller_state_MG,0.06672025425835232
cat__customer_state_RS,0.05469805808813696
cat__customer_state_MG,0.052609019782664225
num__product_length_cm,0.049095553778753735
cat__customer_state_BA,0.047678424352192335
cat__seller_state_RJ,0.027309117456380743
cat__seller_state_PR,0.0234218770298851
num__year,0.012747861046089777
cat__customer_state_CE,0.012742781229296188
cat__seller_state_SP,0.012689684354752902
num__quantity,3.518017974610088e-05
